citation_key	authors	year	title	journal	doi	pmid	pmcid	note
Scheutz2012	Scheutz F et al.	2012	Multicenter evaluation of a sequence-based protocol for subtyping Shiga toxins and standardizing Stx nomenclature	J Clin Microbiol	10.1128/JCM.00860-12	22760050	PMC3421821	Primary sequence-based subtype nomenclature framework
Persson2007	Persson S et al.	2007	Subtyping method for Escherichia coli Shiga toxin 2 variants and correlations to clinical manifestations	J Clin Microbiol	10.1128/JCM.02591-06	17446326	PMC1933035	Early Stx2 subtype framework and clinical correlations
Gill2022_Stx2j	Gill A et al.	2022	Characterization of atypical Shiga toxin gene sequences and description of Stx2j, a new subtype	J Clin Microbiol	10.1128/JCM.02229-21	35225693	PMC8925903	Stx2j description
Hughes2020_Stx2k	Hughes AC et al.	2020	Structural and functional characterization of Stx2k, a new subtype of Shiga toxin 2	Microorganisms	10.3390/microorganisms8010004	31892121	PMC7022315	Stx2k description and characterization
